"network","del","pool","del01","pool01","region","dem_gov","score","network_vdem_score","combined_pd_score","FullName","Region","Proportion_Central_Bankers","Proportion_Regulators_Non_CB","MembershipCategory"
"BCBS",0,0.75,0,0.15,"Global",0.49,"medium",0.651650997150997,0.15,"Basel Committee on Banking Supervision","Global",0.5,0.5,"Central Banker"
"BIS",0,0.75,0,0.15,"Global",0.29,"low",0.65064406779661,0.15,"Bank for International Settlements","Global",1,0,"Central Banker"
"CEBS",0.08,0.5,0.02,0.1,"European",0.59,"medium",0.796238825031928,0.12,"Committee of European Banking Supervisors","European",0.5,0.5,"Central Banker"
"CEIOPS",0.17,0.25,0.04,0.05,"European",0.64,"high",0.796238825031928,0.09,"Committee of European Insurance and Occupational Pensions Supervisors","European",0,1,"Regulator"
"CESR",0,0.5,0,0.1,"European",0.61,"high",0.796238825031928,0.1,"Committee of European Securities Regulators","European",0,1,"Regulator"
"CPMI",0,0.5,0,0.1,"Global",0.46,"medium",0.63928,0.1,"Committee on Payments and Market Infrastructures","Global",1,0,"Central Banker"
"EBA",0.25,1,0.06,0.2,"European",0.8,"high",0.800610513739546,0.26,"European Banking Authority","European",0.6,0.4,"Central Banker"
"EIOPA",0.25,1,0.06,0.2,"European",0.68,"high",0.800610513739546,0.26,"European Insurance and Occupational Pensions Authority","European",0,1,"Regulator"
"ESMA",0.17,1,0.04,0.2,"European",0.7,"high",0.800610513739546,0.24,"European Securities and Markets Authority","European",0.05,0.95,"Central Banker"
"ESRB",0,1,0,0.2,"European",0.58,"medium",0.800610513739546,0.2,"European Systemic Risk Board","European",0.9,0.1,"Central Banker"
"FSB",0.08,0.25,0.02,0.05,"Global",0.43,"medium",0.614272727272727,0.07,"Financial Stability Board","Global",0.33,0.33,"Central Banker"
"IADI",0.33,0.25,0.08,0.05,"Global",0.53,"medium",0.581076923076923,0.13,"International Association of Deposit Insurers","Global",0.1,0.9,"Central Banker"
"IAIS",0.25,0.75,0.06,0.15,"Global",0.61,"high",0.540781512605042,0.21,"International Association of Insurance Supervisors","Global",0,1,"Regulator"
"IFRS",0.33,0.5,0.08,0.1,"Global",0.61,"high",0.544161999397772,0.18,"International Financial Reporting Standards Foundation","Global",0.09,0.91,"Central Banker"
"IOPS",0.17,0.75,0.04,0.15,"Global",0.5,"medium",0.592010752688172,0.19,"International Organisation of Pension Supervisors","Global",0,1,"Regulator"
"IOSCO",0.17,0.75,0.04,0.15,"Global",0.49,"medium",0.596282608695652,0.19,"International Organization of Securities Commissions","Global",0,1,"Regulator"
"NGFS",0.08,0.5,0.02,0.1,"Global",0.38,"low",0.551703389830508,0.12,"Network for Greening the Financial System","Global",0.65,0.35,"Central Banker"
"SSB",0,1,0,0.2,"European",0.46,"medium",0.796238825031928,0.2,"Single Supervisory Board","European",1,0,"Central Banker"
